North American Industry Classification System (NAICS),Release,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
Accommodation and food services  [72],2024-12-23,"78,345","78,375","78,652","78,883","78,737","79,759","80,654","81,462","81,587","81,565","81,673","82,025","81,296","81,848","82,215","82,318","82,472","83,023","83,100","82,550","82,967","83,057","83,142","83,395","83,559","84,191","84,420","84,042","85,287","85,228","85,972","86,967","86,948","87,413","87,218","87,658","87,469","87,816","88,446","89,116","89,367","90,444","89,800","89,463","90,445","90,391","91,745","92,462","93,899","94,917","95,597","95,722","96,061","96,434","96,717","97,396","97,731","98,097","98,501","98,836","99,893","1,00,655","1,01,002","1,01,515","1,01,878","1,03,221","1,03,150","1,04,049","1,04,585","1,04,996","1,06,286","1,07,122","1,05,316","1,05,572","1,01,956","1,02,787","1,02,919","1,04,458","1,06,148","1,07,242","1,07,679","1,09,421","1,10,809","1,10,621","1,13,903","1,12,820","1,13,622","1,13,635","1,14,399","1,14,564","1,15,828","1,17,011","1,18,593","1,19,883","1,21,340","1,22,594","1,23,534","1,24,397","1,24,715","1,24,871","1,26,053","1,26,420","1,28,405","1,28,757","1,29,812","1,30,097","1,29,873","1,30,102","1,30,706","1,32,202","1,31,706","1,31,698","1,32,117","1,32,577","1,31,487","1,32,080","1,32,273","1,32,402","1,32,100","1,31,200","1,32,191","1,32,307","1,32,370","1,32,842","1,32,442","1,33,273","1,32,196","1,32,125","1,32,799","1,32,689",..,..
Accommodation and food services  [72],2024-11-29,"78,345","78,375","78,652","78,883","78,737","79,759","80,654","81,462","81,587","81,565","81,673","82,025","81,296","81,848","82,215","82,318","82,472","83,023","83,100","82,550","82,967","83,057","83,142","83,395","83,559","84,191","84,420","84,042","85,287","85,228","85,972","86,967","86,948","87,413","87,218","87,658","87,469","87,816","88,446","89,116","89,367","90,444","89,800","89,463","90,445","90,391","91,745","92,462","93,899","94,917","95,597","95,722","96,061","96,434","96,717","97,396","97,731","98,097","98,501","98,836","99,893","1,00,655","1,01,002","1,01,515","1,01,878","1,03,221","1,03,150","1,04,049","1,04,585","1,04,996","1,06,286","1,07,122","1,05,316","1,05,572","1,01,956","1,02,787","1,02,919","1,04,458","1,06,148","1,07,242","1,07,679","1,09,421","1,10,809","1,10,621","1,13,903","1,12,820","1,13,622","1,13,635","1,14,399","1,14,564","1,15,828","1,17,011","1,18,593","1,19,883","1,21,340","1,22,594","1,23,534","1,24,397","1,24,715","1,24,871","1,26,053","1,26,420","1,28,405","1,28,757","1,29,812","1,30,097","1,29,873","1,30,102","1,30,706","1,32,202","1,31,706","1,31,698","1,32,117","1,32,577","1,31,487","1,32,080","1,32,273","1,32,402","1,32,100","1,31,200","1,32,156","1,32,318","1,32,381","1,32,937","1,32,543","1,33,406","1,32,371","1,32,402","1,32,474",..,..,..
Accommodation and food services  [72],2024-10-31,"78,345","78,375","78,652","78,883","78,737","79,759","80,654","81,462","81,587","81,565","81,673","82,025","81,296","81,848","82,215","82,318","82,472","83,023","83,100","82,550","82,967","83,057","83,142","83,395","83,559","84,191","84,420","84,042","85,287","85,228","85,972","86,967","86,948","87,413","87,218","87,658","87,469","87,816","88,446","89,116","89,367","90,444","89,800","89,463","90,445","90,391","91,745","92,462","93,899","94,917","95,597","95,722","96,061","96,434","96,717","97,396","97,731","98,097","98,501","98,836","99,893","1,00,655","1,01,002","1,01,515","1,01,878","1,03,221","1,03,150","1,04,049","1,04,585","1,04,996","1,06,286","1,07,122","1,05,826","1,06,189","1,02,406","1,03,472","1,03,478","1,04,930","1,06,183","1,07,032","1,07,259","1,08,894","1,09,856","1,09,403","1,12,318","1,11,027","1,10,997","1,11,250","1,11,568","1,11,664","1,12,762","1,13,820","1,15,142","1,16,390","1,17,637","1,18,877","1,20,158","1,21,294","1,21,632","1,21,905","1,22,765","1,23,211","1,25,131","1,25,334","1,26,195","1,26,365","1,25,604","1,25,430","1,25,219","1,26,051","1,25,287","1,25,167","1,25,345","1,25,795","1,24,872","1,25,294","1,25,208","1,25,060","1,24,867","1,24,448","1,25,329","1,25,661","1,25,746","1,26,467","1,26,213","1,26,924","1,26,061","1,26,205",..,..,..,..
Energy sector  [T016] 6,2025-02-28,"1,29,530","1,31,718","1,33,391","1,34,678","1,35,985","1,37,526","1,35,563","1,32,457","1,34,333","1,35,821","1,37,108","1,35,783","1,35,560","1,35,283","1,32,147","1,30,607","1,30,271","1,31,979","1,33,387","1,35,735","1,30,061","1,29,786","1,29,988","1,30,264","1,32,422","1,30,342","1,28,513","1,28,007","1,19,190","1,26,677","1,32,880","1,35,551","1,36,396","1,35,071","1,36,423","1,38,425","1,38,967","1,38,180","1,38,855","1,39,301","1,42,621","1,41,036","1,41,817","1,39,793","1,40,956","1,37,077","1,38,036","1,41,549","1,42,280","1,44,239","1,48,399","1,44,901","1,45,295","1,46,730","1,49,022","1,49,749","1,47,651","1,49,418","1,47,829","1,44,599","1,43,128","1,43,335","1,45,125","1,51,370","1,50,670","1,50,338","1,46,601","1,46,897","1,47,236","1,48,093","1,46,720","1,49,395","1,49,223","1,51,372","1,47,733","1,37,640","1,35,677","1,30,290","1,31,071","1,28,127","1,30,217","1,34,506","1,36,878","1,38,754","1,41,277","1,41,220","1,40,379","1,37,065","1,39,870","1,43,051","1,43,049","1,44,826","1,46,737","1,47,610","1,44,168","1,44,492","1,46,544","1,47,593","1,47,643","1,49,981","1,49,442","1,49,197","1,51,023","1,51,862","1,53,590","1,50,720","1,49,611","1,46,602","1,48,935","1,50,787","1,52,082","1,52,248","1,48,490","1,50,200","1,51,456","1,50,561","1,49,534","1,51,115","1,53,807","1,54,609","1,50,048","1,52,267","1,53,703","1,55,273","1,54,883","1,56,906","1,56,881","1,56,470","1,54,791","1,57,990","1,55,393","1,58,310"
Accommodation and food services  [72],2025-01-31,"1,29,530","1,31,718","1,33,391","1,34,678","1,35,985","1,37,526","1,35,563","1,32,457","1,34,333","1,35,821","1,37,108","1,35,783","1,35,560","1,35,283","1,32,147","1,30,607","1,30,271","1,31,979","1,33,387","1,35,735","1,30,061","1,29,786","1,29,988","1,30,264","1,32,422","1,30,342","1,28,513","1,28,007","1,19,190","1,26,677","1,32,880","1,35,551","1,36,396","1,35,071","1,36,423","1,38,425","1,38,967","1,38,180","1,38,855","1,39,301","1,42,621","1,41,036","1,41,817","1,39,793","1,40,956","1,37,077","1,38,036","1,41,549","1,42,280","1,44,239","1,48,399","1,44,901","1,45,295","1,46,730","1,49,022","1,49,749","1,47,651","1,49,418","1,47,829","1,44,599","1,43,128","1,43,335","1,45,125","1,51,370","1,50,670","1,50,338","1,46,601","1,46,897","1,47,236","1,48,093","1,46,720","1,49,395","1,49,223","1,51,372","1,47,733","1,37,640","1,35,677","1,30,290","1,31,071","1,28,127","1,30,217","1,34,506","1,36,878","1,38,754","1,41,277","1,41,220","1,40,379","1,37,065","1,39,870","1,43,051","1,43,049","1,44,826","1,46,737","1,47,610","1,44,168","1,44,492","1,46,544","1,47,593","1,47,643","1,49,981","1,49,442","1,49,197","1,51,023","1,51,862","1,53,590","1,50,720","1,49,611","1,46,602","1,48,935","1,50,787","1,52,082","1,52,248","1,48,490","1,50,200","1,51,456","1,50,561","1,49,534","1,51,115","1,53,807","1,54,609","1,50,289","1,52,431","1,53,711","1,55,315","1,54,992","1,56,846","1,56,895","1,56,214","1,54,392","1,58,035","1,54,635",..
Accommodation and food services  [72],2024-12-23,"1,29,530","1,31,718","1,33,391","1,34,678","1,35,985","1,37,526","1,35,563","1,32,457","1,34,333","1,35,821","1,37,108","1,35,783","1,35,560","1,35,283","1,32,147","1,30,607","1,30,271","1,31,979","1,33,387","1,35,735","1,30,061","1,29,786","1,29,988","1,30,264","1,32,422","1,30,342","1,28,513","1,28,007","1,19,190","1,26,677","1,32,880","1,35,551","1,36,396","1,35,071","1,36,423","1,38,425","1,38,967","1,38,180","1,38,855","1,39,301","1,42,621","1,41,036","1,41,817","1,39,793","1,40,956","1,37,077","1,38,036","1,41,549","1,42,280","1,44,239","1,48,399","1,44,901","1,45,295","1,46,730","1,49,022","1,49,749","1,47,651","1,49,418","1,47,829","1,44,599","1,43,128","1,43,335","1,45,125","1,51,370","1,50,670","1,50,338","1,46,601","1,46,897","1,47,236","1,48,093","1,46,720","1,49,395","1,49,223","1,51,372","1,47,733","1,37,640","1,35,677","1,30,290","1,31,071","1,28,127","1,30,217","1,34,506","1,36,878","1,38,754","1,41,277","1,41,220","1,40,379","1,37,065","1,39,870","1,43,051","1,43,049","1,44,826","1,46,737","1,47,610","1,44,168","1,44,492","1,46,544","1,47,593","1,47,643","1,49,981","1,49,442","1,49,197","1,51,023","1,51,862","1,53,590","1,50,720","1,49,611","1,46,602","1,48,935","1,50,787","1,52,082","1,52,248","1,48,490","1,50,200","1,51,456","1,50,561","1,49,534","1,51,115","1,53,807","1,54,609","1,50,457","1,52,411","1,53,717","1,55,349","1,55,050","1,56,980","1,57,092","1,56,486","1,54,400","1,58,296",..,..
Accommodation and food services  [72],2024-11-29,"1,29,530","1,31,718","1,33,391","1,34,678","1,35,985","1,37,526","1,35,563","1,32,457","1,34,333","1,35,821","1,37,108","1,35,783","1,35,560","1,35,283","1,32,147","1,30,607","1,30,271","1,31,979","1,33,387","1,35,735","1,30,061","1,29,786","1,29,988","1,30,264","1,32,422","1,30,342","1,28,513","1,28,007","1,19,190","1,26,677","1,32,880","1,35,551","1,36,396","1,35,071","1,36,423","1,38,425","1,38,967","1,38,180","1,38,855","1,39,301","1,42,621","1,41,036","1,41,817","1,39,793","1,40,956","1,37,077","1,38,036","1,41,549","1,42,280","1,44,239","1,48,399","1,44,901","1,45,295","1,46,730","1,49,022","1,49,749","1,47,651","1,49,418","1,47,829","1,44,599","1,43,128","1,43,335","1,45,125","1,51,370","1,50,670","1,50,338","1,46,601","1,46,897","1,47,236","1,48,093","1,46,720","1,49,395","1,49,223","1,51,372","1,47,733","1,37,640","1,35,677","1,30,290","1,31,071","1,28,127","1,30,217","1,34,506","1,36,878","1,38,754","1,41,277","1,41,220","1,40,379","1,37,065","1,39,870","1,43,051","1,43,049","1,44,826","1,46,737","1,47,610","1,44,168","1,44,492","1,46,544","1,47,593","1,47,643","1,49,981","1,49,442","1,49,197","1,51,023","1,51,862","1,53,590","1,50,720","1,49,611","1,46,602","1,48,935","1,50,787","1,52,082","1,52,248","1,48,490","1,50,200","1,51,456","1,50,561","1,49,534","1,51,115","1,53,807","1,54,609","1,50,249","1,52,277","1,53,664","1,55,250","1,54,880","1,56,865","1,56,980","1,56,217","1,54,457",..,..,..
Accommodation and food services  [72],2024-10-31,"1,29,530","1,31,718","1,33,391","1,34,678","1,35,985","1,37,526","1,35,563","1,32,457","1,34,333","1,35,821","1,37,108","1,35,783","1,35,560","1,35,283","1,32,147","1,30,607","1,30,271","1,31,979","1,33,387","1,35,735","1,30,061","1,29,786","1,29,988","1,30,264","1,32,422","1,30,342","1,28,513","1,28,007","1,19,190","1,26,677","1,32,880","1,35,551","1,36,396","1,35,071","1,36,423","1,38,425","1,38,967","1,38,180","1,38,855","1,39,301","1,42,621","1,41,036","1,41,817","1,39,793","1,40,956","1,37,077","1,38,036","1,41,549","1,42,280","1,44,239","1,48,399","1,44,901","1,45,295","1,46,730","1,49,022","1,49,749","1,47,651","1,49,418","1,47,829","1,44,599","1,43,128","1,43,335","1,45,125","1,51,370","1,50,670","1,50,338","1,46,601","1,46,897","1,47,236","1,48,093","1,46,720","1,49,395","1,49,447","1,51,571","1,47,733","1,38,128","1,35,799","1,30,365","1,30,873","1,27,866","1,30,083","1,34,185","1,36,713","1,38,725","1,39,753","1,40,385","1,39,757","1,37,182","1,39,370","1,43,156","1,42,367","1,44,447","1,44,699","1,46,024","1,43,838","1,45,194","1,47,728","1,47,630","1,47,381","1,49,538","1,48,540","1,48,715","1,49,948","1,52,119","1,52,750","1,49,789","1,49,489","1,47,457","1,48,007","1,49,440","1,50,068","1,50,772","1,47,518","1,48,306","1,49,274","1,47,920","1,46,190","1,47,833","1,50,879","1,50,602","1,48,243","1,48,850","1,50,883","1,51,807","1,52,602","1,54,970","1,55,187","1,54,275",..,..,..,..
Industrial production (1950 definition)  [T017] 6,2025-02-28,"3,33,355","3,38,760","3,40,571","3,44,062","3,47,014","3,50,337","3,48,053","3,42,690","3,48,101","3,49,884","3,49,544","3,50,664","3,48,107","3,45,259","3,43,784","3,41,034","3,40,416","3,41,694","3,43,978","3,48,809","3,41,821","3,41,704","3,42,446","3,42,652","3,46,464","3,42,550","3,39,003","3,40,278","3,30,124","3,38,592","3,44,378","3,46,753","3,47,102","3,44,911","3,48,324","3,51,608","3,53,896","3,53,044","3,55,152","3,56,690","3,60,608","3,59,559","3,59,810","3,54,554","3,55,361","3,52,779","3,56,812","3,58,055","3,59,725","3,63,970","3,70,054","3,69,251","3,67,438","3,70,224","3,72,181","3,71,018","3,70,817","3,71,276","3,68,672","3,65,742","3,64,352","3,63,929","3,68,533","3,74,948","3,76,167","3,72,870","3,67,326","3,67,345","3,67,276","3,66,533","3,64,299","3,65,050","3,62,378","3,67,198","3,44,259","2,91,138","3,10,639","3,28,846","3,41,097","3,43,171","3,46,226","3,48,355","3,54,035","3,57,658","3,61,617","3,56,697","3,58,367","3,51,067","3,51,358","3,57,536","3,58,613","3,60,276","3,59,097","3,65,301","3,61,893","3,64,774","3,68,403","3,70,467","3,72,656","3,74,066","3,73,359","3,76,002","3,75,548","3,75,434","3,77,577","3,71,784","3,71,075","3,65,549","3,70,435","3,73,283","3,74,451","3,74,019","3,70,293","3,70,666","3,71,024","3,71,628","3,70,419","3,71,325","3,74,775","3,74,154","3,69,550","3,72,124","3,70,860","3,73,993","3,75,012","3,74,214","3,72,952","3,72,072","3,70,302","3,74,409","3,70,209","3,71,678"
Accommodation and food services  [72],2025-01-31,"3,33,355","3,38,760","3,40,571","3,44,062","3,47,014","3,50,337","3,48,053","3,42,690","3,48,101","3,49,884","3,49,544","3,50,664","3,48,107","3,45,259","3,43,784","3,41,034","3,40,416","3,41,694","3,43,978","3,48,809","3,41,821","3,41,704","3,42,446","3,42,652","3,46,464","3,42,550","3,39,003","3,40,278","3,30,124","3,38,592","3,44,378","3,46,753","3,47,102","3,44,911","3,48,324","3,51,608","3,53,896","3,53,044","3,55,152","3,56,690","3,60,608","3,59,559","3,59,810","3,54,554","3,55,361","3,52,779","3,56,812","3,58,055","3,59,725","3,63,970","3,70,054","3,69,251","3,67,438","3,70,224","3,72,181","3,71,018","3,70,817","3,71,276","3,68,672","3,65,742","3,64,352","3,63,929","3,68,533","3,74,948","3,76,167","3,72,870","3,67,326","3,67,345","3,67,276","3,66,533","3,64,299","3,65,050","3,62,378","3,67,198","3,44,259","2,91,138","3,10,639","3,28,846","3,41,097","3,43,171","3,46,226","3,48,355","3,54,035","3,57,658","3,61,617","3,56,697","3,58,367","3,51,067","3,51,358","3,57,536","3,58,613","3,60,276","3,59,097","3,65,301","3,61,893","3,64,774","3,68,403","3,70,467","3,72,656","3,74,066","3,73,359","3,76,002","3,75,548","3,75,434","3,77,577","3,71,784","3,71,075","3,65,549","3,70,435","3,73,283","3,74,451","3,74,019","3,70,293","3,70,666","3,71,024","3,71,628","3,70,419","3,71,325","3,74,775","3,74,154","3,69,646","3,72,056","3,70,673","3,73,760","3,74,857","3,73,954","3,72,901","3,71,720","3,70,124","3,74,559","3,70,234",..
Accommodation and food services  [72],2024-12-23,"3,33,355","3,38,760","3,40,571","3,44,062","3,47,014","3,50,337","3,48,053","3,42,690","3,48,101","3,49,884","3,49,544","3,50,664","3,48,107","3,45,259","3,43,784","3,41,034","3,40,416","3,41,694","3,43,978","3,48,809","3,41,821","3,41,704","3,42,446","3,42,652","3,46,464","3,42,550","3,39,003","3,40,278","3,30,124","3,38,592","3,44,378","3,46,753","3,47,102","3,44,911","3,48,324","3,51,608","3,53,896","3,53,044","3,55,152","3,56,690","3,60,608","3,59,559","3,59,810","3,54,554","3,55,361","3,52,779","3,56,812","3,58,055","3,59,725","3,63,970","3,70,054","3,69,251","3,67,438","3,70,224","3,72,181","3,71,018","3,70,817","3,71,276","3,68,672","3,65,742","3,64,352","3,63,929","3,68,533","3,74,948","3,76,167","3,72,870","3,67,326","3,67,345","3,67,276","3,66,533","3,64,299","3,65,050","3,62,378","3,67,198","3,44,259","2,91,138","3,10,639","3,28,846","3,41,097","3,43,171","3,46,226","3,48,355","3,54,035","3,57,658","3,61,617","3,56,697","3,58,367","3,51,067","3,51,358","3,57,536","3,58,613","3,60,276","3,59,097","3,65,301","3,61,893","3,64,774","3,68,403","3,70,467","3,72,656","3,74,066","3,73,359","3,76,002","3,75,548","3,75,434","3,77,577","3,71,784","3,71,075","3,65,549","3,70,435","3,73,283","3,74,451","3,74,019","3,70,293","3,70,666","3,71,024","3,71,628","3,70,419","3,71,325","3,74,775","3,74,154","3,69,781","3,72,014","3,70,671","3,73,688","3,74,804","3,74,153","3,73,202","3,71,752","3,70,222","3,74,398",..,..
Accommodation and food services  [72],2024-11-29,"3,33,355","3,38,760","3,40,571","3,44,062","3,47,014","3,50,337","3,48,053","3,42,690","3,48,101","3,49,884","3,49,544","3,50,664","3,48,107","3,45,259","3,43,784","3,41,034","3,40,416","3,41,694","3,43,978","3,48,809","3,41,821","3,41,704","3,42,446","3,42,652","3,46,464","3,42,550","3,39,003","3,40,278","3,30,124","3,38,592","3,44,378","3,46,753","3,47,102","3,44,911","3,48,324","3,51,608","3,53,896","3,53,044","3,55,152","3,56,690","3,60,608","3,59,559","3,59,810","3,54,554","3,55,361","3,52,779","3,56,812","3,58,055","3,59,725","3,63,970","3,70,054","3,69,251","3,67,438","3,70,224","3,72,181","3,71,018","3,70,817","3,71,276","3,68,672","3,65,742","3,64,352","3,63,929","3,68,533","3,74,948","3,76,167","3,72,870","3,67,326","3,67,345","3,67,276","3,66,533","3,64,299","3,65,050","3,62,378","3,67,198","3,44,259","2,91,138","3,10,639","3,28,846","3,41,097","3,43,171","3,46,226","3,48,355","3,54,035","3,57,658","3,61,617","3,56,697","3,58,367","3,51,067","3,51,358","3,57,536","3,58,613","3,60,276","3,59,097","3,65,301","3,61,893","3,64,774","3,68,403","3,70,467","3,72,656","3,74,066","3,73,359","3,76,002","3,75,548","3,75,434","3,77,577","3,71,784","3,71,075","3,65,549","3,70,435","3,73,283","3,74,451","3,74,019","3,70,293","3,70,666","3,71,024","3,71,628","3,70,419","3,71,325","3,74,775","3,74,154","3,69,721","3,72,016","3,70,648","3,73,576","3,74,710","3,74,045","3,73,615","3,71,402","3,68,829",..,..,..
Accommodation and food services  [72],2024-10-31,"3,33,355","3,38,760","3,40,571","3,44,062","3,47,014","3,50,337","3,48,053","3,42,690","3,48,101","3,49,884","3,49,544","3,50,664","3,48,107","3,45,259","3,43,784","3,41,034","3,40,416","3,41,694","3,43,978","3,48,809","3,41,821","3,41,704","3,42,446","3,42,652","3,46,464","3,42,550","3,39,003","3,40,278","3,30,124","3,38,592","3,44,378","3,46,753","3,47,102","3,44,911","3,48,324","3,51,608","3,53,896","3,53,044","3,55,152","3,56,690","3,60,608","3,59,559","3,59,810","3,54,554","3,55,361","3,52,779","3,56,812","3,58,055","3,59,725","3,63,970","3,70,054","3,69,251","3,67,438","3,70,224","3,72,181","3,71,018","3,70,817","3,71,276","3,68,672","3,65,742","3,64,352","3,63,929","3,68,533","3,74,948","3,76,167","3,72,870","3,67,326","3,67,345","3,67,276","3,66,533","3,64,299","3,65,050","3,62,902","3,67,601","3,45,765","2,91,005","3,10,230","3,28,187","3,40,701","3,43,049","3,46,434","3,48,006","3,54,199","3,56,921","3,60,334","3,55,583","3,59,082","3,52,026","3,51,668","3,57,942","3,57,349","3,59,469","3,56,709","3,64,228","3,62,629","3,65,029","3,68,499","3,69,761","3,72,612","3,74,038","3,72,929","3,75,955","3,73,754","3,74,996","3,76,141","3,70,759","3,71,112","3,67,176","3,69,763","3,71,568","3,72,562","3,70,922","3,69,663","3,69,027","3,68,763","3,68,594","3,67,430","3,67,259","3,71,504","3,68,880","3,67,549","3,67,360","3,65,988","3,67,725","3,70,168","3,68,479","3,69,164","3,66,227",..,..,..,..
Public Sector  [T018] 6,2025-02-28,"3,82,936","3,83,237","3,83,545","3,83,548","3,83,575","3,81,970","3,83,870","3,84,188","3,82,757","3,84,691","3,85,182","3,84,926","3,86,070","3,87,009","3,87,333","3,88,198","3,87,388","3,88,124","3,88,397","3,87,207","3,88,149","3,88,630","3,88,734","3,89,601","3,90,737","3,91,774","3,92,674","3,93,135","3,94,486","3,94,918","3,94,766","3,95,217","3,95,928","3,95,865","3,96,117","3,96,101","3,96,412","3,97,134","3,97,723","3,97,854","3,98,185","3,99,492","4,00,334","4,01,775","4,03,165","4,03,208","4,04,202","4,05,664","4,07,681","4,08,961","4,10,345","4,11,896","4,13,415","4,14,471","4,15,353","4,15,830","4,16,232","4,16,767","4,17,221","4,17,656","4,18,482","4,18,729","4,19,473","4,19,782","4,20,068","4,20,636","4,22,133","4,22,839","4,22,968","4,24,208","4,24,986","4,26,840","4,27,623","4,28,807","4,01,652","3,75,160","3,87,558","4,00,435","4,12,414","4,17,725","4,21,216","4,23,921","4,25,083","4,26,834","4,28,188","4,29,718","4,33,626","4,29,780","4,33,084","4,36,089","4,38,432","4,38,544","4,40,675","4,39,770","4,40,660","4,41,322","4,39,814","4,41,926","4,42,197","4,42,971","4,44,708","4,46,441","4,47,548","4,48,319","4,49,341","4,51,680","4,53,185","4,54,334","4,56,344","4,58,017","4,59,247","4,56,996","4,60,078","4,61,048","4,61,767","4,63,081","4,63,972","4,64,437","4,60,793","4,56,380","4,66,579","4,68,981","4,70,835","4,71,950","4,74,226","4,75,297","4,77,385","4,78,963","4,79,371","4,79,410","4,79,097","4,79,994"
Accommodation and food services  [72],2025-01-31,"3,82,936","3,83,237","3,83,545","3,83,548","3,83,575","3,81,970","3,83,870","3,84,188","3,82,757","3,84,691","3,85,182","3,84,926","3,86,070","3,87,009","3,87,333","3,88,198","3,87,388","3,88,124","3,88,397","3,87,207","3,88,149","3,88,630","3,88,734","3,89,601","3,90,737","3,91,774","3,92,674","3,93,135","3,94,486","3,94,918","3,94,766","3,95,217","3,95,928","3,95,865","3,96,117","3,96,101","3,96,412","3,97,134","3,97,723","3,97,854","3,98,185","3,99,492","4,00,334","4,01,775","4,03,165","4,03,208","4,04,202","4,05,664","4,07,681","4,08,961","4,10,345","4,11,896","4,13,415","4,14,471","4,15,353","4,15,830","4,16,232","4,16,767","4,17,221","4,17,656","4,18,482","4,18,729","4,19,473","4,19,782","4,20,068","4,20,636","4,22,133","4,22,839","4,22,968","4,24,208","4,24,986","4,26,840","4,27,623","4,28,807","4,01,652","3,75,160","3,87,558","4,00,435","4,12,414","4,17,725","4,21,216","4,23,921","4,25,083","4,26,834","4,28,188","4,29,718","4,33,626","4,29,780","4,33,084","4,36,089","4,38,432","4,38,544","4,40,675","4,39,770","4,40,660","4,41,322","4,39,814","4,41,926","4,42,197","4,42,971","4,44,708","4,46,441","4,47,548","4,48,319","4,49,341","4,51,680","4,53,185","4,54,334","4,56,344","4,58,017","4,59,247","4,56,996","4,60,078","4,61,048","4,61,767","4,63,081","4,63,972","4,64,437","4,60,793","4,56,380","4,66,135","4,67,807","4,69,136","4,69,818","4,71,980","4,73,185","4,74,776","4,75,801","4,76,126","4,76,408","4,76,277",..
Accommodation and food services  [72],2024-12-23,"3,82,936","3,83,237","3,83,545","3,83,548","3,83,575","3,81,970","3,83,870","3,84,188","3,82,757","3,84,691","3,85,182","3,84,926","3,86,070","3,87,009","3,87,333","3,88,198","3,87,388","3,88,124","3,88,397","3,87,207","3,88,149","3,88,630","3,88,734","3,89,601","3,90,737","3,91,774","3,92,674","3,93,135","3,94,486","3,94,918","3,94,766","3,95,217","3,95,928","3,95,865","3,96,117","3,96,101","3,96,412","3,97,134","3,97,723","3,97,854","3,98,185","3,99,492","4,00,334","4,01,775","4,03,165","4,03,208","4,04,202","4,05,664","4,07,681","4,08,961","4,10,345","4,11,896","4,13,415","4,14,471","4,15,353","4,15,830","4,16,232","4,16,767","4,17,221","4,17,656","4,18,482","4,18,729","4,19,473","4,19,782","4,20,068","4,20,636","4,22,133","4,22,839","4,22,968","4,24,208","4,24,986","4,26,840","4,27,623","4,28,807","4,01,652","3,75,160","3,87,558","4,00,435","4,12,414","4,17,725","4,21,216","4,23,921","4,25,083","4,26,834","4,28,188","4,29,718","4,33,626","4,29,780","4,33,084","4,36,089","4,38,432","4,38,544","4,40,675","4,39,770","4,40,660","4,41,322","4,39,814","4,41,926","4,42,197","4,42,971","4,44,708","4,46,441","4,47,548","4,48,319","4,49,341","4,51,680","4,53,185","4,54,334","4,56,344","4,58,017","4,59,247","4,56,996","4,60,078","4,61,048","4,61,767","4,63,081","4,63,972","4,64,437","4,60,793","4,56,380","4,66,164","4,67,811","4,69,130","4,69,812","4,72,015","4,73,219","4,74,828","4,75,835","4,76,180","4,76,460",..,..
